Telugu_sentence,English_sentence,source
జీవులన్నింటికీ పెరుగుదల వంటి జీవక్రియలను నిర్వర్తించుకోడం కోసం ఆహారం అవసరం.,All living things need food to carry out metabolic processes such as growth.,ted
జీవులు శారీరక ఉష్ణోగ్రతను క్రమబద్దీకరించుకోడానికి కూడా ఆహారం అవసరం.,Organisms also need food to regulate body temperature.,ted
అమీబా వంటి ఏకకణ జీవులు మొదలుకొని మానవుని వంటి బహుకణ జీవుల వరకు ప్రతిజీవి అనేక రకాల పదార్థాలను ఆహారంగా తీసుకుంటాయి.,"From single-celled organisms such as amoeba to multicellular organisms such as humans, microbes feed on a wide variety of materials.",indic2012
మానవ శరీరంలో వివిధ కణాలకు తమ విధులను నిర్వర్తించడానికి వేరువేరు రకాల పోషకాలు అవసరం అవుతాయి.,Different cells in the human body require different types of nutrients to perform their functions.,ted
"ఆహార సేకరణ, పోషణ కణం నుండి కణానికి, జీవినుండి జీవికి విభిన్నంగా ఉంటుంది.","Food acquisition, nutrition varies from cell to cell, organism to organism.",indic2012
మీరు కింది తరగతులలో వివిధ రకాల జంతువులు ఆహారాన్ని ఎలా పొందుతాయో తెలుసుకున్నారు కదా! వాటిని ఒకసారి జ్ఞప్తికి తెచ్చుకుందాం.,In the following classes you will learn how different types of animals get food! Let us recall them once.,tides
పరపోషకాలు అనగానేమి? అవి తమ ఆహారాన్ని ఎలా పొందుతాయి?,What are nutrients? How do they get their food?,indic2012
స్వయంపోషకాలు అనగానేమి? అవి తమ ఆవోరాన్ని ఎలా పొందుతాయి?,What are autonutrients? How do they get their aura?,ted
"ఇపుడు మనం స్వయం పోషణ, పరపోషణ విధానాలలో జీవులలో పోషణ ఎలా",Now we can see how the nutrition in organisms in self-nutrition and para-nutrition systems,indic2012
జరుగుతుందో తెలుసుకుందాం. మొక్కలను స్వయం పోషకాలని ఎందుకు అంటారో కూడా,Let's find out what happens. Why are plants called self-feeding?,tides
తెలుసుకుందాం.,Let's find out.,tides
స్వయంపోషకాలలో పోషణ (Autotrophic nutrition),1. Autotrophic nutrition,indic2012
స్వయంపోషకాలు కాంతిశక్తిని ఉపయోగించుకుని రసాయనిక మ్మేళనాలు తయారుచేసుకుంటాయని మనకు తెలుసు.,We know that autotrophs use light energy to make chemical compounds.,indic2012
అవి నేలలోని నీటిని మరియు ఖనిజ లవణాలతోపాటుగా గాలిలోని కొన్ని యువులను కూడా వినియోగించుకుంటాయి.,They consume water and mineral salts from the soil as well as some nutrients from the air.,ted
"ఈ సరళ పదార్థాలను ఉపయోగించి పిండిపదార్థాలు, మాంసకృత్తులు, కొవ్వుల వంటి సంక్షిష్ట పదార్థాలను ఉత్పత్తి చేస్తాయి. ","These simple substances are used to produce compact substances such as carbohydrates, proteins, and fats.",tides
స్వయంపోషకాలైన మొక్కల ద్వారా ఉత్పత్తి అయ్యే ఈ EYEE మానవులతోబాటు అత్యధిక శాతం జీవరాశులకు క్తినివ్వడానికి ఉపయోగపడుతున్నాయి.,"Produced by autotrophic plants, these EYEEs are used to feed a large percentage of living organisms, including humans.",tides
ఆంధ్రప్రదేశ్ ప్రభుత్వం వారిచే ఉచిత పంపిణీ (1) __,Free distribution by Government of Andhra Pradesh (1) __,indic2012
దాదాపుగా మనం తినే ప్రతి పదార్థం ఎక్కువగా మొక్కలనుండే లభిస్తోంది కదా!,Almost everything we eat comes from plants!,indic2012
అంటే జంతువులన్నీ తమ ఆహారం కోసం మొక్కల పైనే ఆధారపడతాయి. మరి మొక్కలు వివిధ జీవ క్రియలను ర్వర్తించడానికి వేటిని ఉపయోగించుకుంటాయి?,That means all animals depend on plants for their food. And what do plants use to carry out various biological functions?,tides
మొక్కలు అనేక రకాల జీవక్రియలను ఎలా నిర్వహిస్తాయి అనే అంశాన్ని తెలుసుకోడానికి శతాబ్దాలుగా శాస్త్రవేత్తలు ఎన్నో పరిశోధనలు జరుపుతున్నారు.,"For centuries, scientists have been researching how plants manage a wide variety of metabolisms.",indic2012
మొక్కలలో వివిధ రకాల జీవక్రియలు జరుగుతున్నప్పటికీ ఒక్క కిరణజన్య సంయోగక్రియ ద్వారానే సమస్త జీవకోటికి ఆహారం అందించే వనరులుగా మొక్కలు గుర్తింపబడ్డాయి.,"Although different types of metabolism take place in plants, plants are recognized as sources of food for all living organisms through photosynthesis alone.",tides
మీరు కింది తరగతులలో కిరణజన్యసంయోగక్రియ గురించి కొన్ని అంశాలు అధ్యయనం చేశారుకదా? వాన్ హెల్మాంట్ మొదలైన శాస్త్రవేత్తలు మొక్కలు తమ ఆహారాన్ని నేలనుండి మాత్రమే కాకుండా ఇంకా ఏవో ఇతర కారకాల ద్వారా గ్రహిస్తాయని ఊహించారు.,Didn't you study some topics about photosynthesis in the following classes? Scientists like Van Helmont etc. hypothesized that plants obtain their food not only from the soil but also through other factors.,tides
కిరణజన్య సంయోగ (క్రియ జరగడానికి కావాల్సిన ముడిపదార్థాలు ఏమిటి?,Photosynthesis (What are the raw materials required for photosynthesis?,indic2012
కిరణజన్యసంయోగ(క్రియలో చిట్టచివరిగా ఏర్పడే ఉత్పన్నాలు ఏమై ఉంటాయి?,Photosynthetic (What are the final derivatives of a verb?,ted
కిరణజన్యసంయోగక్రియకు సంబంధించిన మరిన్ని విషయాల గురించి మరింత వివరంగా,More about photosynthesis in more detail,tides
అధ్యయనం చేద్దాం.,Let's study.,tides
కిరణజన్యసంయోగక్రియ,Photosynthesis,ted
కిరణజన్య సంయోగక్రియను జరిపే మొక్కల పత్రాలు ఆకుపచ్చరంగులో ఉండే వర్ణదాన్ని కలిగి ఉంటాయి. దీనిని పత్రహరితం (Chlorophyll) ఉంటారు.,The leaves of photosynthetic plants contain green pigment. It contains chlorophyll.,tides
